,S_No,user_id,username,tweet,unix_time,title,year,rating
73,761174,253803673,tanmanswanson,I rated Casablanca 8/10 ,1390040966,,,
74,761175,76766207,MoNoVeNuS,I rated Cuestión de tiempo 8/10 ,1390040946,,,
75,761176,1495711220,scribbyx,I rated Shaktimaan 6/10 ,1390040905,,,
76,761177,116444083,abdul3lah,I rated Riddick 4/10 ,1390040842,,,
77,761178,413689715,GstRanda,I rated Cloudy with a Chance of Meatballs 2 6/10 ,1390039966,,,
78,761179,196799720,justmichellem77,I rated Superman 10/10 ,1390039720,,,
79,761180,25578002,mrdavidtrent,I rated The Wolf of Wall Street 10/10  http://t.co/eZdt7jFEHx,1390039630,,,
80,761181,47711344,Andrew2E,I rated Intriga 8/10 ,1390039546,,,
81,761182,103569736,davidclairb,I rated Ride Along 10/10 ,1390039201,,,
82,761183,624226165,enikolai82,I rated American Hustle 6/10 ,1390039166,,,
83,761184,420611831,jordicurtoduart,I rated Dallas Buyers Club 8/10 ,1390039096,,,
84,761185,16312401,tdaddysmooth,I rated The Fighter 7/10 ,1390038790,,,
85,761186,2269373506,KajolSm,I rated The Lives of Others 10/10  http://t.co/t7SA0gQbrp,1390038529,,,
86,761187,2269373506,KajolSm,I rated The Three-Way Wedding 10/10  http://t.co/wtSAulUD84,1390038251,,,
87,761188,54881970,Matt_Alcalde,I rated Crank 5/10 ,1390038096,,,
88,761189,1199108905,ahmed_baher2011,I rated Escape Plan 8/10 ,1390038013,,,
89,761190,292983411,MohamedQawam,I rated Ride Along 9/10 ,1390037835,,,
90,761191,210980660,JamilQureshi,I rated Fast &amp; Furious 6 9/10 ,1390037645,,,
91,761192,554549440,capt_weeble,I rated Last Vegas 4/10 ,1390037613,,,
92,761193,79039963,Alvvays_Ralphy,I rated Her 10/10  http://t.co/842JIxFtHs,1390037394,,,
93,761194,21515016,PackJT,I rated Erased 7/10 ,1390037373,,,
94,761195,16319784,lisastethem,I rated That's What She Said 4/10 ,1390037117,,,
95,761196,303926309,_C_A_M_M_,I rated Jack Ryan: Shadow Recruit 8/10 ,1390037015,,,
96,761197,446657516,dlpyyt,I rated The Wolf of Wall Street 9/10 ,1390036928,,,
97,761198,620953,BuckeyefromMich,I rated Fast &amp; Furious 6 6/10 ,1390036514,,,
98,761199,1532443830,johar_tweets,I rated Jab Tak Hai Jaan 10/10 ,1390036113,,,
99,761200,36179745,mariososac,I rated American Hustle 7/10 ,1390036049,,,
100,761201,150027966,henry_in_space,I rated Devil's Due 5.7/10 ,1390035951,,,
101,761202,35458181,widththickness,I rated Saving Mr. Banks 9/10 ,1390035822,,,
102,761203,291492398,Sarabeth_am,I rated Don Jon 10/10 ,1390035735,,,
103,761204,1549527223,BernhagenTrevor,I rated Wolf Children 9/10 ,1390035714,,,
104,761205,427097691,IamAlexSerra,I rated Much Ado About Nothing 7/10 ,1390035568,,,
105,761206,963747091,sanguivel,I rated Tomboy 8/10 ,1390035319,,,
106,761207,23747052,JazbatiRajpoot,I rated About Time 10/10 ,1390035155,,,
107,761208,141255901,SteveRahaman,I rated You're Next 9/10 ,1390034921,,,
108,761209,2176147451,Evan_A_M,I rated Lone Survivor 10/10 ,1390034664,,,
109,761210,396528984,AAboodii12,I rated A Cinderella Story 6/10  http://t.co/1EaQZIrkF7,1390034466,,,
110,761211,45953971,quodavid,I rated Another Earth 8/10 ,1390034375,,,
111,761212,396528984,AAboodii12,I rated Cheaper by the Dozen 2 6/10  http://t.co/LqbQdNNBss,1390034217,,,
112,761213,554549440,capt_weeble,I rated Frozen 5/10 ,1390033933,,,
113,761214,106138241,RiteanDan,I rated Ed Wood 10/10 ,1390033884,,,
114,761215,232292964,Kintarosz,I rated The Legend of Hercules 2/10 ,1390033870,,,
115,761216,20822781,EL_FLOREZ_,I rated The Wolf of Wall Street 7/10 ,1390033667,,,
116,761217,233617745,_Isengard,I rated Pacto Secreto 2/10 ,1390033275,,,
117,761218,174822023,philjbecker,I rated Escape Plan 7/10 ,1390033236,,,
118,761219,830402306,Silent_Explorer,I rated What Maisie Knew 8/10 ,1390033164,,,
119,761220,1569347905,AndrewTarwerdi,I rated Slap Shot 7/10 ,1390032153,,,
120,761221,26029122,NGeorgiaLife,I rated House at the End of the Street 6/10 ,1390031678,,,
121,761222,816219379,moviemikericci,I rated Nebraska 9/10 ,1390031560,,,
122,761223,17744721,muriloars,I rated Stoker 7/10  http://t.co/glQe2cQNFt,1390031550,,,
123,761224,48547956,chicfox,I rated Big in the Philippines 10/10 ,1390030841,,,
124,761225,435480387,jacasanovase,I rated The Grandmaster 10/10 ,1390030784,,,
125,761226,338468714,Sinebug,I rated You're Next 8/10 ,1390030502,,,
126,761227,211561695,Moolan_,I rated Unknown 10/10 ,1390030116,,,
127,761228,171314878,KUtherPendragon,I rated The Place Beyond the Pines 8/10 ,1390030116,,,
128,761229,124786064,3mer_3li,I rated His Last Vow 10/10 ,1390030105,,,
129,761230,226231668,AlexAssassin94,I rated The Wolf of Wall Street 10/10 ,1390029851,,,
130,761231,291896525,x7Mosh,I rated Texas Chainsaw 3D 5/10 ,1390029848,,,
131,761232,375312066,FIREzPHOENIX,I rated The Butler 10/10 ,1390029796,,,
132,761233,91133912,IamS2K,I rated Prisoners 8/10 ,1390029781,,,
133,761234,210980660,JamilQureshi,I rated We Bought a Zoo 6/10 ,1390029229,,,
134,761235,377497915,savemebarry12,I rated Beasts of the Southern Wild 8/10 ,1390029217,,,
135,761236,49626871,TJ_Bass316,I rated The Wolf of Wall Street 9/10 ,1390028864,,,
136,761237,253803673,tanmanswanson,I rated The Comedy 3/10 ,1390028852,,,
137,761238,89414810,giorgostatsios,I rated Τα παιδιά είναι εντάξει 6/10 ,1390028568,,,
138,761239,253803673,tanmanswanson,I rated How I Met Your Mother 9/10 ,1390027864,,,
139,761240,23120223,campbelldropout,I rated My Week with Marilyn 7/10 ,1390027735,,,
140,761241,357619318,ToeachHisown1,I rated Her 7/10 ,1390027224,,,
141,761242,110881284,PetterLyngstad,I rated Carrie 5/10 ,1390026962,,,
142,761243,110881284,PetterLyngstad,I rated Lone Survivor 8/10 ,1390026943,,,
143,761244,394523675,M_Rash007,I rated The Book Thief 10/10 ,1390026227,,,
144,761245,394523675,M_Rash007,I rated 47 Ronin 6/10 ,1390026124,,,
145,761246,207277324,A7medo778,I rated Percy Jackson: Sea of Monsters 2/10 ,1390026029,,,
146,761247,79584554,fahd129,I rated 2 Guns 7/10 ,1390026025,,,
147,761248,382297363,fatcatsjiggle,I rated The Walking Dead 10/10 ,1390025824,,,
